Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Delhi,294.83,73,Small,2022-03-22,9,Paneer,Amul,290.13,50.91,14770.52,87,Ambient,2022-03-05,2022-05-31,147.25,50.25,7399.31,West Bengal,Online,142.88,58.9,121.43
West Bengal,783.31,73,Small,2021-01-04,7,Lassi,Amul,131.01,30.7,4022.01,149,Ambient,2021-01-03,2021-06-01,44.26,29.26,1295.05,West Bengal,Wholesale,86.75,40.56,165.69
Uttar Pradesh,306.84,115,Small,2022-10-06,4,Yogurt,Dynamix Dairies,617.03,26.39,16283.42,60,Polythene Packet,2022-08-08,2022-10-07,375.31,25.09,9416.53,Gujarat,Wholesale,241.72,65.99,119.32
Maharashtra,250.43,107,Large,2022-10-11,5,Ice Cream,Sudha,274.82,69.81,19185.18,90,Tetra Pack,2022-08-18,2022-11-16,71.39,75.71,5404.94,Madhya Pradesh,Wholesale,203.43,54.77,170.6
Haryana,82.17,72,Small,2021-03-30,6,Curd,Mother Dairy,398.92,24.42,9741.63,95,Ambient,2021-02-21,2021-05-27,344.87,25.37,8749.35,Telangana,Online,54.05,76.02,45.92
Delhi,276.03,80,Medium,2024-06-20,10,Ghee,Amul,376.77,28.47,10726.64,99,Polythene Packet,2024-06-10,2024-09-17,314.39,30.37,9548.02,West Bengal,Online,62.38,79.23,127.98
Bihar,253.45,87,Small,2019-11-26,6,Curd,Mother Dairy,698.56,67.12,46887.35,58,Polythene Packet,2019-10-06,2019-12-03,81.56,68.36,5575.44,Chandigarh,Retail,617.0,21.62,119.87
Madhya Pradesh,532.18,79,Small,2022-03-11,8,Buttermilk,Amul,287.24,78.04,22416.21,136,Ambient,2022-03-03,2022-07-17,238.19,70.92,16892.43,Tamil Nadu,Retail,49.05,73.94,192.81
Kerala,852.13,69,Large,2021-09-15,5,Ice Cream,Amul,996.22,43.85,43684.25,99,Frozen,2021-08-15,2021-11-22,153.97,40.54,6241.94,Rajasthan,Wholesale,842.25,46.04,130.36
Telangana,237.1,92,Large,2021-10-10,3,Cheese,Britannia Industries,441.23,66.2,29209.43,131,Refrigerated,2021-08-11,2021-12-20,169.57,65.52,11110.23,Maharashtra,Retail,271.66,90.24,149.4
Madhya Pradesh,229.03,53,Small,2019-12-21,5,Ice Cream,Dynamix Dairies,591.83,37.32,22087.1,132,Polythene Packet,2019-12-14,2020-04-24,69.81,40.85,2851.74,Madhya Pradesh,Retail,522.02,44.09,145.03
West Bengal,53.91,92,Medium,2021-01-10,8,Buttermilk,Raj,627.32,61.07,38310.43,138,Polythene Packet,2021-01-02,2021-05-20,74.93,63.29,4742.32,Uttar Pradesh,Retail,552.39,10.88,106.27
Tamil Nadu,176.52,45,Medium,2024-07-15,5,Ice Cream,Amul,679.44,77.48,52643.01,149,Refrigerated,2024-06-17,2024-11-13,118.6,81.99,9724.01,Rajasthan,Retail,560.84,62.79,64.89
Uttar Pradesh,176.63,26,Medium,2022-09-18,8,Buttermilk,Dynamix Dairies,149.69,73.33,10976.77,146,Frozen,2022-07-28,2022-12-21,137.16,76.73,10524.29,Jharkhand,Wholesale,12.53,9.42,98.73
Karnataka,261.79,42,Large,2022-07-23,8,Buttermilk,Britannia Industries,569.6,10.5,5980.8,14,Tetra Pack,2022-06-26,2022-07-10,115.87,11.0,1274.57,West Bengal,Retail,453.73,64.05,148.98
Bihar,329.43,21,Small,2019-11-02,5,Ice Cream,Raj,873.44,81.34,71045.61,102,Tetra Pack,2019-10-18,2020-01-28,528.05,82.4,43511.32,Jharkhand,Retail,345.39,22.85,196.57
Kerala,653.01,65,Medium,2024-08-03,6,Curd,Dynamix Dairies,251.47,70.4,17703.49,81,Frozen,2024-07-18,2024-10-07,33.78,63.84,2156.52,Gujarat,Online,217.69,48.2,53.07
Gujarat,802.05,108,Medium,2021-05-08,8,Buttermilk,Raj,236.41,48.66,11503.71,15,Ambient,2021-04-02,2021-04-17,130.16,50.47,6569.18,Haryana,Online,106.25,52.93,88.89
Kerala,286.26,108,Large,2021-04-23,5,Ice Cream,Amul,379.54,48.41,18373.53,43,Frozen,2021-03-21,2021-05-03,143.21,45.33,6491.71,Karnataka,Wholesale,236.33,73.55,31.99
Karnataka,391.39,39,Medium,2020-11-29,3,Cheese,Sudha,498.95,87.99,43902.61,141,Refrigerated,2020-10-08,2021-02-26,198.14,92.3,18288.32,Tamil Nadu,Wholesale,300.81,38.03,96.12
Delhi,377.73,80,Small,2023-04-25,4,Yogurt,Passion Cheese,661.83,51.84,34309.27,129,Ambient,2023-04-22,2023-08-29,154.21,56.17,8661.98,Kerala,Retail,507.62,62.53,110.69
Jharkhand,223.24,49,Large,2023-04-19,8,Buttermilk,Mother Dairy,63.68,32.79,2088.07,48,Refrigerated,2023-03-30,2023-05-17,60.97,34.07,2077.25,Haryana,Wholesale,2.71,86.5,120.82
Tamil Nadu,37.81,38,Small,2023-11-27,2,Butter,Dynamix Dairies,431.5,68.33,29484.4,78,Tetra Pack,2023-10-22,2024-01-08,216.17,62.17,13439.29,Delhi,Retail,215.33,5.51,125.13
Maharashtra,557.44,42,Small,2019-01-02,6,Curd,Passion Cheese,717.55,15.3,10978.51,95,Frozen,2018-11-24,2019-02-27,76.15,14.29,1088.18,Haryana,Online,641.4,36.02,134.73
West Bengal,837.39,113,Large,2021-07-09,8,Buttermilk,Britannia Industries,438.09,34.1,14938.87,112,Tetra Pack,2021-06-16,2021-10-06,300.09,36.07,10824.25,Tamil Nadu,Online,138.0,10.73,31.05
Kerala,876.42,64,Small,2022-01-27,2,Butter,Raj,274.41,82.53,22647.06,99,Frozen,2021-12-30,2022-04-08,23.76,83.98,1995.36,Karnataka,Online,250.65,15.15,175.04
Bihar,100.8,24,Medium,2019-12-21,5,Ice Cream,Mother Dairy,48.41,45.69,2211.85,141,Frozen,2019-11-26,2020-04-15,29.14,48.84,1423.2,Madhya Pradesh,Retail,19.27,14.37,140.71
Gujarat,742.44,55,Small,2024-05-08,10,Ghee,Amul,972.62,51.76,50342.81,108,Tetra Pack,2024-03-20,2024-07-06,671.84,48.79,32779.07,Kerala,Online,300.78,65.87,74.44
Telangana,158.49,108,Small,2020-11-03,6,Curd,Sudha,204.42,40.12,8201.33,22,Refrigerated,2020-09-12,2020-10-04,176.74,40.75,7202.16,Madhya Pradesh,Online,27.68,20.02,102.26
Madhya Pradesh,428.85,67,Medium,2024-02-22,1,Milk,Passion Cheese,967.36,29.3,28343.65,37,Polythene Packet,2024-01-31,2024-03-08,32.81,32.17,1055.5,Telangana,Retail,934.55,24.28,45.16
Karnataka,763.7,46,Small,2023-11-14,1,Milk,Britannia Industries,481.02,72.71,34974.96,129,Tetra Pack,2023-10-13,2024-02-19,456.26,73.62,33589.86,Karnataka,Wholesale,24.76,10.13,199.38
Madhya Pradesh,713.04,75,Large,2022-01-02,5,Ice Cream,Dynamix Dairies,772.6,92.89,71766.81,65,Refrigerated,2021-11-20,2022-01-24,429.29,89.52,38430.04,Haryana,Online,343.31,68.71,42.23
Gujarat,513.38,116,Small,2020-08-01,3,Cheese,Sudha,347.43,82.63,28708.14,145,Tetra Pack,2020-06-04,2020-10-27,284.22,89.63,25474.64,Delhi,Retail,63.21,72.96,71.36
Telangana,303.37,51,Medium,2021-12-01,5,Ice Cream,Dynamix Dairies,211.33,75.7,15997.68,3,Refrigerated,2021-10-16,2021-10-19,178.58,78.45,14009.6,Madhya Pradesh,Online,32.75,8.03,193.91
Maharashtra,660.43,33,Large,2019-05-30,6,Curd,Dynamix Dairies,482.9,40.98,19789.24,93,Polythene Packet,2019-04-29,2019-07-31,464.72,38.46,17873.13,Rajasthan,Wholesale,18.18,12.22,69.46
Karnataka,693.36,88,Small,2021-05-28,9,Paneer,Britannia Industries,301.58,15.22,4590.05,17,Frozen,2021-04-03,2021-04-20,69.49,14.6,1014.55,Jharkhand,Online,232.09,33.8,139.85
Madhya Pradesh,381.19,77,Medium,2021-02-04,7,Lassi,Sudha,510.51,12.5,6381.38,100,Ambient,2020-12-30,2021-04-09,350.64,11.86,4158.59,Delhi,Retail,159.87,13.42,185.25
Uttar Pradesh,136.6,37,Small,2019-12-04,3,Cheese,Dodla Dairy,277.47,24.32,6748.07,53,Ambient,2019-10-27,2019-12-19,104.14,26.18,2726.39,Bihar,Retail,173.33,41.6,85.77
Telangana,722.69,67,Small,2021-02-06,1,Milk,Britannia Industries,654.72,19.51,12773.59,75,Ambient,2020-12-25,2021-03-10,124.16,17.73,2201.36,Gujarat,Online,530.56,62.76,34.03
Uttar Pradesh,173.17,23,Medium,2019-07-27,10,Ghee,Dynamix Dairies,61.76,31.04,1917.03,41,Refrigerated,2019-06-11,2019-07-22,42.4,30.24,1282.18,Delhi,Retail,19.36,28.38,73.23
Jharkhand,278.03,46,Medium,2019-12-18,9,Paneer,Sudha,12.73,71.61,911.6,78,Refrigerated,2019-12-07,2020-02-23,8.33,65.7,547.28,Karnataka,Retail,4.4,7.31,142.66
Uttar Pradesh,885.16,119,Large,2021-08-14,10,Ghee,Dynamix Dairies,467.18,92.68,43298.24,59,Frozen,2021-08-13,2021-10-11,226.67,97.85,22179.66,Tamil Nadu,Online,240.51,34.61,27.79
Uttar Pradesh,362.35,42,Small,2024-04-21,4,Yogurt,Mother Dairy,608.52,79.24,48219.12,45,Refrigerated,2024-03-18,2024-05-02,420.59,80.25,33752.35,Chandigarh,Online,187.93,98.39,162.86
Telangana,167.54,76,Small,2020-03-13,3,Cheese,Passion Cheese,953.04,28.23,26904.32,76,Tetra Pack,2020-01-18,2020-04-03,704.75,29.59,20853.55,Madhya Pradesh,Retail,248.29,82.1,93.0
Tamil Nadu,22.89,34,Small,2021-05-18,6,Curd,Passion Cheese,743.22,98.25,73021.37,137,Polythene Packet,2021-04-21,2021-09-05,527.08,91.55,48254.17,Delhi,Retail,216.14,57.29,20.05
Karnataka,54.8,22,Small,2023-01-19,1,Milk,Britannia Industries,637.72,15.92,10152.5,103,Frozen,2022-12-24,2023-04-06,334.39,15.87,5306.77,Gujarat,Wholesale,303.33,83.01,70.86
Gujarat,644.4,105,Medium,2019-03-12,7,Lassi,Mother Dairy,410.68,73.19,30057.67,29,Refrigerated,2019-01-11,2019-02-09,375.64,76.92,28894.23,Uttar Pradesh,Retail,35.04,54.99,73.58
Maharashtra,191.89,59,Large,2022-01-11,4,Yogurt,Mother Dairy,782.78,35.55,27827.83,76,Polythene Packet,2022-01-05,2022-03-22,487.25,38.08,18554.48,Maharashtra,Retail,295.53,12.08,38.98
Tamil Nadu,147.28,102,Medium,2022-10-13,10,Ghee,Raj,844.64,18.0,15203.52,58,Ambient,2022-09-25,2022-11-22,420.42,16.36,6878.07,Madhya Pradesh,Online,424.22,13.54,80.71
Jharkhand,496.1,114,Medium,2021-02-24,5,Ice Cream,Dynamix Dairies,828.11,54.62,45231.37,140,Ambient,2021-01-20,2021-06-09,707.75,53.57,37914.17,Maharashtra,Online,120.36,73.48,146.44
Chandigarh,545.8,33,Medium,2020-05-21,2,Butter,Amul,983.06,69.59,68411.15,56,Polythene Packet,2020-05-15,2020-07-10,454.58,74.32,33784.39,Madhya Pradesh,Wholesale,528.48,8.19,125.77
Rajasthan,525.97,43,Medium,2019-09-16,2,Butter,Dynamix Dairies,455.83,45.31,20653.66,35,Polythene Packet,2019-09-02,2019-10-07,254.51,42.05,10702.15,Karnataka,Retail,201.32,75.52,97.62
Maharashtra,778.16,74,Medium,2023-02-08,2,Butter,Dynamix Dairies,749.68,34.85,26126.35,11,Refrigerated,2023-01-10,2023-01-21,169.26,37.8,6398.03,Telangana,Online,580.42,69.25,176.05
Telangana,419.18,32,Small,2020-03-05,7,Lassi,Britannia Industries,605.5,21.5,13018.25,8,Tetra Pack,2020-01-11,2020-01-19,374.57,22.42,8397.86,Gujarat,Wholesale,230.93,87.11,62.13
Jharkhand,116.91,43,Small,2023-07-21,6,Curd,Mother Dairy,602.88,92.55,55796.54,77,Tetra Pack,2023-05-30,2023-08-15,65.83,100.37,6607.36,Delhi,Retail,537.05,9.25,105.42
Kerala,854.27,66,Small,2021-07-25,7,Lassi,Raj,880.11,38.68,34042.65,132,Polythene Packet,2021-06-22,2021-11-01,634.99,36.91,23437.48,Bihar,Online,245.12,87.73,147.86
Uttar Pradesh,581.47,47,Medium,2019-12-31,7,Lassi,Britannia Industries,192.25,68.64,13196.04,121,Tetra Pack,2019-12-30,2020-04-29,130.52,62.98,8220.15,Maharashtra,Wholesale,61.73,16.62,50.72
Jharkhand,747.47,31,Medium,2019-03-01,3,Cheese,Dynamix Dairies,513.82,46.57,23928.6,24,Polythene Packet,2019-02-07,2019-03-03,464.84,50.96,23688.25,Jharkhand,Retail,48.98,86.89,197.77
Delhi,94.69,39,Medium,2019-10-08,9,Paneer,Raj,132.34,25.89,3426.28,48,Polythene Packet,2019-09-24,2019-11-11,91.31,23.99,2190.53,Bihar,Online,41.03,20.14,148.97
West Bengal,98.65,83,Large,2022-01-05,5,Ice Cream,Mother Dairy,689.95,14.14,9755.89,63,Frozen,2021-12-03,2022-02-04,673.33,13.02,8766.76,Delhi,Wholesale,16.62,46.51,47.67
Chandigarh,729.58,66,Medium,2020-09-15,8,Buttermilk,Dodla Dairy,583.32,51.84,30239.31,110,Frozen,2020-07-18,2020-11-05,360.55,55.99,20187.19,Gujarat,Online,222.77,78.15,134.63
Jharkhand,792.42,30,Small,2021-01-10,2,Butter,Passion Cheese,172.11,61.59,10600.25,73,Polythene Packet,2020-12-04,2021-02-15,48.5,65.87,3194.7,Gujarat,Online,123.61,67.27,139.54
Telangana,301.3,92,Medium,2019-12-22,6,Curd,Passion Cheese,738.7,38.63,28535.98,83,Tetra Pack,2019-11-11,2020-02-02,356.87,39.9,14239.11,Jharkhand,Online,381.83,27.98,72.25
Chandigarh,202.03,75,Medium,2024-11-28,7,Lassi,Sudha,842.44,44.44,37438.03,64,Ambient,2024-11-09,2025-01-12,146.31,43.64,6384.97,West Bengal,Online,696.13,77.26,30.2
Madhya Pradesh,848.44,118,Medium,2020-08-05,4,Yogurt,Raj,326.53,90.12,29426.88,10,Refrigerated,2020-06-26,2020-07-06,302.23,87.61,26478.37,Kerala,Wholesale,24.3,64.86,58.46
Jharkhand,864.62,28,Large,2019-08-04,10,Ghee,Dodla Dairy,990.36,43.96,43536.23,114,Refrigerated,2019-06-11,2019-10-03,807.39,42.97,34693.55,Rajasthan,Wholesale,182.97,64.05,66.08
Uttar Pradesh,861.46,60,Large,2021-03-18,1,Milk,Britannia Industries,840.47,80.81,67918.38,116,Frozen,2021-01-25,2021-05-21,814.81,85.02,69275.15,Maharashtra,Online,25.66,83.19,59.28
Tamil Nadu,115.74,33,Medium,2023-07-13,8,Buttermilk,Mother Dairy,597.5,67.37,40253.58,92,Refrigerated,2023-07-07,2023-10-07,400.25,61.38,24567.35,Gujarat,Online,197.25,13.88,59.14
Maharashtra,483.15,20,Medium,2021-01-01,9,Paneer,Passion Cheese,12.66,31.27,395.88,60,Tetra Pack,2020-12-06,2021-02-04,4.29,33.58,144.06,Maharashtra,Wholesale,8.37,35.6,143.2
Maharashtra,488.24,114,Small,2020-06-23,5,Ice Cream,Britannia Industries,760.16,96.32,73218.61,80,Tetra Pack,2020-06-14,2020-09-02,564.12,88.49,49918.98,Uttar Pradesh,Online,196.04,69.85,29.45
Rajasthan,703.11,62,Medium,2019-10-21,3,Cheese,Dodla Dairy,325.11,88.39,28736.47,32,Polythene Packet,2019-10-07,2019-11-08,229.06,86.26,19758.72,Kerala,Retail,96.05,38.44,35.63
Bihar,560.63,25,Large,2019-07-23,2,Butter,Amul,58.91,60.65,3572.89,9,Frozen,2019-06-27,2019-07-06,24.48,64.13,1569.9,Bihar,Online,34.43,87.56,105.12
Tamil Nadu,101.45,35,Large,2022-04-19,7,Lassi,Mother Dairy,273.71,31.98,8753.25,142,Tetra Pack,2022-03-18,2022-08-07,44.03,29.34,1291.84,Madhya Pradesh,Online,229.68,59.26,55.43
Madhya Pradesh,316.82,45,Small,2020-06-15,5,Ice Cream,Raj,276.83,23.99,6641.15,38,Refrigerated,2020-04-16,2020-05-24,57.65,25.27,1456.82,Karnataka,Retail,219.18,20.21,97.23
Kerala,393.05,73,Small,2022-09-06,1,Milk,Raj,804.7,39.63,31890.26,62,Ambient,2022-08-03,2022-10-04,717.31,39.59,28398.3,Jharkhand,Retail,87.39,88.42,49.73
Maharashtra,152.7,62,Large,2020-09-21,7,Lassi,Mother Dairy,790.24,35.66,28179.96,122,Ambient,2020-09-13,2021-01-13,516.3,38.3,19774.29,Uttar Pradesh,Wholesale,273.94,8.37,112.76
Jharkhand,349.17,46,Small,2021-01-23,3,Cheese,Britannia Industries,113.05,46.28,5231.95,62,Frozen,2020-11-26,2021-01-27,112.86,47.27,5334.89,Karnataka,Wholesale,0.19,33.55,82.14
Bihar,508.05,52,Large,2019-12-27,6,Curd,Mother Dairy,234.7,66.05,15501.93,83,Frozen,2019-12-23,2020-03-15,160.92,67.05,10789.69,Bihar,Online,73.78,74.99,103.28
Tamil Nadu,781.8,115,Medium,2020-06-17,6,Curd,Passion Cheese,767.37,94.48,72501.12,6,Polythene Packet,2020-05-30,2020-06-05,589.33,92.15,54306.76,Haryana,Online,178.04,10.17,40.13
West Bengal,651.03,44,Small,2022-06-19,3,Cheese,Sudha,400.31,51.71,20700.03,69,Refrigerated,2022-06-08,2022-08-16,77.65,51.25,3979.56,Haryana,Online,322.66,63.42,189.28
Jharkhand,424.02,70,Medium,2022-12-01,9,Paneer,Mother Dairy,872.46,98.11,85597.05,77,Refrigerated,2022-10-19,2023-01-04,577.78,102.21,59054.89,Telangana,Online,294.68,33.12,67.4
Maharashtra,184.63,24,Medium,2023-12-25,6,Curd,Raj,631.92,50.58,31962.51,79,Tetra Pack,2023-11-22,2024-02-09,94.05,49.72,4676.17,Haryana,Wholesale,537.87,44.31,58.82
Gujarat,294.42,116,Small,2024-04-03,8,Buttermilk,Dynamix Dairies,542.37,87.75,47592.97,4,Tetra Pack,2024-03-05,2024-03-09,463.78,84.87,39361.01,Telangana,Wholesale,78.59,80.28,132.09
Madhya Pradesh,722.57,79,Small,2019-02-07,5,Ice Cream,Dynamix Dairies,821.51,83.62,68694.67,58,Polythene Packet,2018-12-18,2019-02-14,814.57,86.28,70281.1,Uttar Pradesh,Wholesale,6.94,50.39,74.25
Bihar,345.58,63,Small,2019-12-24,3,Cheese,Mother Dairy,362.2,31.78,11510.72,44,Ambient,2019-11-18,2020-01-01,259.06,29.47,7634.5,Telangana,Retail,103.14,29.87,27.07
Madhya Pradesh,427.43,24,Large,2024-10-01,9,Paneer,Amul,62.78,48.14,3022.23,9,Tetra Pack,2024-08-05,2024-08-14,2.54,43.36,110.13,Delhi,Retail,60.24,36.96,46.84
Tamil Nadu,233.62,24,Large,2019-07-25,6,Curd,Sudha,889.77,31.93,28410.36,120,Ambient,2019-07-13,2019-11-10,622.63,31.19,19419.83,Rajasthan,Wholesale,267.14,94.22,91.24
Karnataka,206.44,95,Medium,2019-08-16,9,Paneer,Dynamix Dairies,554.94,30.06,16681.5,135,Frozen,2019-08-08,2019-12-21,249.69,27.26,6806.55,Bihar,Retail,305.25,92.41,137.14
Bihar,734.08,97,Small,2020-08-04,6,Curd,Dynamix Dairies,147.51,60.12,8868.3,120,Frozen,2020-08-03,2020-12-01,29.31,61.45,1801.1,Bihar,Retail,118.2,94.41,88.65
Tamil Nadu,275.17,70,Small,2019-09-06,4,Yogurt,Raj,111.97,84.37,9446.91,62,Polythene Packet,2019-08-13,2019-10-14,85.22,86.16,7342.56,Delhi,Wholesale,26.75,82.46,43.01
Bihar,543.03,93,Small,2023-03-09,6,Curd,Raj,903.33,21.87,19755.83,13,Refrigerated,2023-02-07,2023-02-20,354.39,23.28,8250.2,Rajasthan,Wholesale,548.94,34.09,37.43
Karnataka,418.74,72,Large,2021-02-18,10,Ghee,Mother Dairy,525.58,30.15,15846.24,50,Polythene Packet,2021-01-21,2021-03-12,33.32,31.2,1039.58,Madhya Pradesh,Online,492.26,98.0,67.25
Chandigarh,633.39,44,Medium,2022-08-11,9,Paneer,Sudha,839.05,92.01,77200.99,148,Refrigerated,2022-06-17,2022-11-12,655.55,96.19,63057.35,West Bengal,Wholesale,183.5,14.43,45.29
Chandigarh,444.86,32,Small,2022-01-10,6,Curd,Raj,407.33,31.18,12700.55,12,Ambient,2021-11-30,2021-12-12,16.73,33.85,566.31,Tamil Nadu,Wholesale,390.6,9.04,134.97
Uttar Pradesh,314.88,69,Large,2019-09-12,9,Paneer,Britannia Industries,402.87,92.86,37410.51,137,Ambient,2019-08-09,2019-12-24,102.33,90.13,9223.0,West Bengal,Retail,300.54,78.09,97.66
West Bengal,788.54,23,Large,2019-11-14,9,Paneer,Mother Dairy,327.02,58.78,19222.24,128,Polythene Packet,2019-10-13,2020-02-18,322.6,57.3,18484.98,Delhi,Retail,4.42,70.4,110.12
Bihar,133.0,73,Medium,2019-12-01,2,Butter,Passion Cheese,522.44,17.12,8944.17,75,Ambient,2019-11-30,2020-02-13,329.41,15.74,5184.91,Uttar Pradesh,Wholesale,193.03,46.46,112.26
Bihar,787.47,42,Large,2022-08-17,4,Yogurt,Sudha,348.04,74.47,25918.54,148,Refrigerated,2022-06-26,2022-11-21,327.47,75.26,24645.39,Telangana,Wholesale,20.57,59.23,61.59
Telangana,843.41,113,Medium,2019-07-11,4,Yogurt,Amul,154.56,88.02,13604.37,148,Tetra Pack,2019-06-26,2019-11-21,56.79,85.75,4869.74,Uttar Pradesh,Online,97.77,18.8,58.02
Tamil Nadu,601.15,118,Large,2019-12-02,8,Buttermilk,Passion Cheese,352.15,98.38,34644.52,123,Ambient,2019-11-25,2020-03-27,295.12,98.55,29084.08,Delhi,Retail,57.03,10.51,36.28
Bihar,746.85,43,Large,2020-11-25,2,Butter,Dodla Dairy,283.95,26.81,7612.7,51,Refrigerated,2020-09-26,2020-11-16,272.39,27.59,7515.24,Telangana,Online,11.56,73.25,180.9
Haryana,488.35,90,Large,2022-09-25,3,Cheese,Dodla Dairy,133.91,22.28,2983.51,17,Ambient,2022-08-19,2022-09-05,124.67,22.31,2781.39,Telangana,Retail,9.24,13.18,190.38
Karnataka,769.89,84,Large,2020-12-26,3,Cheese,Sudha,937.57,22.66,21245.34,18,Ambient,2020-12-03,2020-12-21,392.45,23.76,9324.61,Gujarat,Online,545.12,10.47,32.43
Kerala,174.33,66,Medium,2022-12-22,7,Lassi,Amul,958.7,43.29,41502.12,55,Tetra Pack,2022-12-21,2023-02-14,419.58,42.49,17827.95,Uttar Pradesh,Retail,539.12,39.21,81.78
Gujarat,448.12,30,Small,2020-04-11,1,Milk,Passion Cheese,529.04,39.84,21076.95,35,Frozen,2020-02-24,2020-03-30,126.28,43.75,5524.75,Bihar,Retail,402.76,52.7,88.58
Haryana,90.74,52,Small,2019-09-27,5,Ice Cream,Dynamix Dairies,954.78,89.44,85395.52,79,Refrigerated,2019-09-16,2019-12-04,466.91,83.55,39010.33,Telangana,Online,487.87,68.07,184.09
Uttar Pradesh,454.09,56,Small,2020-07-10,10,Ghee,Sudha,52.01,33.08,1720.49,65,Refrigerated,2020-05-23,2020-07-27,40.7,33.03,1344.32,Tamil Nadu,Wholesale,11.31,61.27,63.71
Tamil Nadu,746.71,48,Medium,2019-06-29,5,Ice Cream,Dodla Dairy,160.93,57.32,9224.51,86,Refrigerated,2019-05-22,2019-08-16,112.07,58.09,6510.15,Tamil Nadu,Retail,48.86,85.38,53.52
Tamil Nadu,211.63,37,Medium,2021-11-11,9,Paneer,Dynamix Dairies,210.66,86.02,18120.97,148,Refrigerated,2021-09-13,2022-02-08,82.8,89.66,7423.85,Tamil Nadu,Online,127.86,88.13,176.71
Rajasthan,864.24,120,Medium,2020-09-18,9,Paneer,Passion Cheese,754.79,49.65,37475.32,55,Refrigerated,2020-08-28,2020-10-22,288.75,52.05,15029.44,Karnataka,Retail,466.04,33.36,141.11
Kerala,849.39,68,Medium,2019-10-31,2,Butter,Raj,581.25,14.82,8614.12,20,Polythene Packet,2019-10-29,2019-11-18,381.6,15.13,5773.61,Jharkhand,Retail,199.65,38.17,174.91
Bihar,371.98,51,Medium,2023-10-12,10,Ghee,Sudha,997.98,87.45,87273.35,75,Tetra Pack,2023-10-02,2023-12-16,858.33,88.82,76236.87,Uttar Pradesh,Online,139.65,41.27,187.48
Gujarat,578.47,96,Large,2020-10-29,9,Paneer,Sudha,544.94,38.35,20898.45,33,Frozen,2020-10-05,2020-11-07,99.88,40.16,4011.18,Telangana,Retail,445.06,11.2,89.85
Haryana,742.42,64,Small,2021-12-02,6,Curd,Dodla Dairy,920.05,21.49,19771.87,139,Ambient,2021-10-05,2022-02-21,863.28,19.54,16868.49,Karnataka,Wholesale,56.77,29.0,99.59
Telangana,462.78,115,Small,2019-08-01,2,Butter,Dynamix Dairies,323.53,95.22,30806.53,8,Ambient,2019-07-04,2019-07-12,136.59,86.82,11858.74,Haryana,Retail,186.94,31.02,50.18
West Bengal,66.51,72,Large,2023-06-02,8,Buttermilk,Dynamix Dairies,467.85,89.7,41966.15,118,Frozen,2023-04-18,2023-08-14,302.43,89.47,27058.41,West Bengal,Online,165.42,93.61,145.9
Delhi,318.62,24,Small,2024-07-13,9,Paneer,Dodla Dairy,367.79,54.86,20176.96,138,Ambient,2024-05-20,2024-10-05,304.58,60.01,18277.85,Tamil Nadu,Online,63.21,72.66,79.91
Madhya Pradesh,513.97,113,Medium,2020-04-17,9,Paneer,Mother Dairy,34.15,53.8,1837.27,68,Polythene Packet,2020-03-07,2020-05-14,14.98,56.13,840.83,Karnataka,Wholesale,19.17,77.05,83.14
Jharkhand,190.07,99,Large,2021-08-14,3,Cheese,Dynamix Dairies,892.37,37.26,33249.71,74,Frozen,2021-07-13,2021-09-25,768.9,38.86,29879.45,Delhi,Online,123.47,88.17,193.15
Rajasthan,617.26,81,Medium,2020-10-06,1,Milk,Passion Cheese,597.39,49.78,29738.07,37,Ambient,2020-09-17,2020-10-24,208.86,51.82,10823.13,West Bengal,Wholesale,388.53,93.2,78.34
Tamil Nadu,714.82,107,Small,2022-02-25,3,Cheese,Mother Dairy,124.88,82.41,10291.36,20,Polythene Packet,2022-01-15,2022-02-04,32.24,75.92,2447.66,Bihar,Wholesale,92.64,34.19,28.76
Maharashtra,16.13,41,Small,2021-09-24,10,Ghee,Dodla Dairy,755.49,63.69,48117.16,128,Refrigerated,2021-08-18,2021-12-24,51.4,69.07,3550.2,Gujarat,Online,704.09,14.12,152.44
Haryana,432.77,36,Small,2019-12-21,5,Ice Cream,Amul,540.98,11.81,6388.97,83,Polythene Packet,2019-11-30,2020-02-21,103.2,11.66,1203.31,Delhi,Wholesale,437.78,73.51,68.48
Uttar Pradesh,891.22,61,Small,2019-03-28,1,Milk,Sudha,187.58,22.96,4306.84,9,Refrigerated,2019-02-06,2019-02-15,178.77,23.42,4186.79,Madhya Pradesh,Retail,8.81,49.56,60.1
Bihar,447.99,25,Small,2019-09-25,8,Buttermilk,Dodla Dairy,933.24,24.41,22780.39,125,Tetra Pack,2019-08-30,2020-01-02,798.03,23.11,18442.47,Kerala,Wholesale,135.21,34.83,98.8
Jharkhand,593.31,80,Large,2023-05-08,6,Curd,Sudha,505.52,17.26,8725.28,32,Frozen,2023-03-21,2023-04-22,87.63,17.07,1495.84,Rajasthan,Retail,417.89,82.82,60.69
